,Classifier,Parameters,Train accuracy,Test accuracy,Train top 5 accuracy,Test top 5 accuracy,Train computation time,Test computation time,Experiment
6,Naive Bayes,GaussianNB(),0.853609626,0.598591549,0.997994652,0.774647887,0.540163994,0.035444021,RGB 8-bin colour histogram and local binary pattern with 8 points and radius of 3
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.998997326,0.64084507,1,0.855633803,1530.685414,0.427489042,RGB 8-bin colour histogram and local binary pattern with 8 points and radius of 3
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.082335949,0.000888824,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.969585561,0.661971831,1,0.915492958,11.26230311,0.000566959,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.764037433,0.595070423,0.978609626,0.936619718,2.324063778,0.000546217,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.779411765,0.538732394,0.996991979,0.855633803,0.75425005,0.038333893,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.330548128,0.225352113,0.767045455,0.584507042,1.098092794,0.000715017,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.934491979,0.686619718,0.997660428,0.954225352,43.32623577,0.016808987,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
6,Naive Bayes,GaussianNB(),0.85394385,0.598591549,0.997994652,0.774647887,0.478203058,0.03332305,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",1,0.669014085,1,0.855633803,1396.318976,0.453959227,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 1
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.088160992,0.000987053,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.963903743,0.658450704,1,0.926056338,14.971874,0.000784874,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.759692513,0.588028169,0.97894385,0.933098592,2.489399195,0.000560999,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.77473262,0.517605634,0.997660428,0.816901408,0.838107824,0.032959223,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.313836898,0.204225352,0.734625668,0.559859155,1.399341106,0.000674963,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.93315508,0.644366197,0.996991979,0.950704225,53.52772784,0.02140975,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
6,Naive Bayes,GaussianNB(),0.854278075,0.598591549,0.997994652,0.774647887,0.474868774,0.033859015,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",1,0.647887324,1,0.855633803,1656.328381,0.591786146,RGB 8-bin colour histogram and local binary pattern with 16 points and radius of 3
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.222520828,0.00356698,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.971256684,0.665492958,1,0.919014085,22.44853091,0.000772953,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.768048128,0.598591549,0.978609626,0.940140845,3.709914207,0.000664949,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.782085561,0.545774648,0.997326203,0.85915493,1.09421277,0.047964811,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.244318182,0.186619718,0.669451872,0.584507042,1.857784033,0.005364895,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.933489305,0.665492958,0.99565508,0.940140845,83.25618982,0.02491498,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
6,Naive Bayes,GaussianNB(),0.853275401,0.602112676,0.997994652,0.771126761,1.076089859,0.121541023,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",1,0.669014085,1,0.862676056,1881.355156,0.5458951,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 1
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.223847866,0.001257896,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.969585561,0.665492958,1,0.926056338,17.55875397,0.000798941,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.761029412,0.595070423,0.978275401,0.943661972,2.769179821,0.001222849,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.772058824,0.517605634,0.997994652,0.820422535,0.832202911,0.033962965,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.246657754,0.183098592,0.682820856,0.591549296,1.418081999,0.000781059,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.934826203,0.669014085,0.996657754,0.947183099,66.5556941,0.016928911,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
6,Naive Bayes,GaussianNB(),0.854278075,0.598591549,0.998328877,0.774647887,0.571366072,0.042292118,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",1,0.644366197,1,0.85915493,1683.822657,0.463870049,RGB 8-bin colour histogram and local binary pattern with 24 points and radius of 3
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,2.944965839,0.001113176,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.927473262,0.61971831,0.999331551,0.922535211,10.63067412,0.000588894,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.739973262,0.542253521,0.976938503,0.919014085,2.259952068,0.000585079,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.755013369,0.48943662,0.999331551,0.830985915,0.778245926,0.032497883,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.323529412,0.267605634,0.740307487,0.633802817,1.28331995,0.000619888,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.915106952,0.676056338,0.996657754,0.943661972,38.42404222,0.016179085,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
6,Naive Bayes,GaussianNB(),0.850935829,0.588028169,0.997994652,0.781690141,0.430697918,0.022637844,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.990975936,0.626760563,1,0.866197183,1368.614671,0.457978964,RGB 8-bin colour histogram and GLCM correlation with offset of 1 and angle of 0
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.194717884,0.001044989,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.930481283,0.612676056,0.999665775,0.919014085,9.78315115,0.000545025,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.743315508,0.545774648,0.975935829,0.919014085,2.237493992,0.000526905,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.759024064,0.514084507,0.998997326,0.830985915,0.745359182,0.031145811,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.27105615,0.221830986,0.693181818,0.626760563,1.041555882,0.000631094,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.917446524,0.665492958,0.996323529,0.961267606,37.91982007,0.016425848,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
6,Naive Bayes,GaussianNB(),0.852606952,0.591549296,0.997994652,0.778169014,0.431284904,0.022900105,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.989973262,0.63028169,1,0.862676056,1606.838521,0.455788136,RGB 8-bin colour histogram and GLCM energy with offset of 1 and angle of 0
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.204333067,0.000982761,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.933823529,0.616197183,0.999331551,0.922535211,11.82576919,0.000623226,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.742312834,0.545774648,0.976604278,0.915492958,2.489049911,0.000553846,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.758355615,0.492957746,0.999665775,0.823943662,0.800449133,0.035892963,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.323529412,0.25,0.730949198,0.654929577,1.167564154,0.000656843,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.930481283,0.672535211,0.996657754,0.940140845,43.6017549,0.019001961,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
6,Naive Bayes,GaussianNB(),0.850601604,0.588028169,0.997994652,0.781690141,0.465322018,0.024629831,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.992981283,0.623239437,0.999331551,0.88028169,1605.416192,0.440399885,RGB 8-bin colour histogram and GLCM dissimilarity with offset of 1 and angle of 0
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.077198029,0.000891209,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.936831551,0.626760563,0.999331551,0.922535211,10.3960011,0.000533104,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.742312834,0.545774648,0.976604278,0.926056338,2.269748926,0.000530005,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.756350267,0.496478873,0.998663102,0.834507042,0.760105133,0.032192945,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=7,
                       random_state=1)",0.248663102,0.204225352,0.641377005,0.566901408,1.083619833,0.000744104,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.920120321,0.651408451,0.995989305,0.950704225,38.59453082,0.016492844,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
6,Naive Bayes,GaussianNB(),0.851938503,0.591549296,0.997994652,0.778169014,0.452860117,0.023221016,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.993983957,0.633802817,0.999331551,0.873239437,1403.147963,0.47023201,RGB 8-bin colour histogram and GLCM homogeneity with offset of 1 and angle of 0
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.172422171,0.001534939,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.929812834,0.623239437,0.998997326,0.929577465,11.75068426,0.000549793,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.748328877,0.538732394,0.975601604,0.926056338,2.731524706,0.000547171,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.752005348,0.48943662,0.999665775,0.827464789,1.037436962,0.031575203,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=7,
                       random_state=1)",0.292446524,0.204225352,0.714237968,0.588028169,1.395978928,0.000686169,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.926136364,0.654929577,0.996991979,0.961267606,48.90238905,0.016376019,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
6,Naive Bayes,GaussianNB(),0.852272727,0.588028169,0.997994652,0.785211268,0.493477821,0.027056694,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.99131016,0.623239437,0.999665775,0.873239437,1943.016363,0.466010809,RGB 8-bin colour histogram and GLCM contrast with offset of 1 and angle of 0
0,Baseline,"DummyClassifier(random_state=1, strategy='stratified')",0.015374332,0.007042254,0.074197861,0.063380282,0.206432819,0.000994205,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
1,Logistic Regression,"LogisticRegression(C=10, random_state=1)",0.926804813,0.61971831,0.999331551,0.919014085,10.24509287,0.000535727,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
2,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(shrinkage=0.5, solver='lsqr')",0.74197861,0.538732394,0.976270053,0.919014085,2.213113785,0.000524998,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
3,K-Nearest Neighbour,KNeighborsClassifier(n_neighbors=9),0.759358289,0.5,0.999331551,0.830985915,1.063247919,0.056730032,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
4,Decision Tree,"DecisionTreeClassifier(max_depth=10, max_features=3, min_samples_leaf=9,
                       random_state=1)",0.265374332,0.211267606,0.683489305,0.61971831,1.068661928,0.000694036,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
5,Random Forest,"RandomForestClassifier(max_depth=9, min_samples_leaf=3, random_state=1)",0.922794118,0.661971831,0.995989305,0.947183099,39.65226173,0.016436815,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
6,Naive Bayes,GaussianNB(),0.851604278,0.591549296,0.997994652,0.778169014,0.435265064,0.03886199,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
7,Support Vector Machine,"OneVsRestClassifier(estimator=SVC(C=100, gamma=0.1, probability=True,
                                  random_state=1))",0.989639037,0.626760563,1,0.862676056,1758.646762,0.445265293,RGB 8-bin colour histogram and GLCM ASM with offset of 1 and angle of 0
,ResNet,ResNet18,0.712047,0.619718,0.939765,0.894366,293.053,2.211962,ResNet18
,ResNet,ResNet50,0.734084,0.633803,0.96474,0.915493,449.086838,4.524391,ResNet50